rel_path,label,dataset,subject,cam
videos/NoFALL/ADL_call_cellphone_a04_s01_e01_rgb.mp4,NoFALL,ADL,ADL_s01,
videos/NoFALL/ADL_call_cellphone_a04_s01_e02_rgb.mp4,NoFALL,ADL,ADL_s01,
videos/NoFALL/ADL_call_cellphone_a04_s02_e01_rgb.mp4,NoFALL,ADL,ADL_s02,
videos/NoFALL/ADL_call_cellphone_a04_s02_e02_rgb.mp4,NoFALL,ADL,ADL_s02,
videos/NoFALL/ADL_call_cellphone_a04_s03_e01_rgb.mp4,NoFALL,ADL,ADL_s03,
videos/NoFALL/ADL_call_cellphone_a04_s03_e02_rgb.mp4,NoFALL,ADL,ADL_s03,
videos/NoFALL/ADL_call_cellphone_a04_s04_e01_rgb.mp4,NoFALL,ADL,ADL_s04,
videos/NoFALL/ADL_call_cellphone_a04_s04_e02_rgb.mp4,NoFALL,ADL,ADL_s04,
videos/NoFALL/ADL_call_cellphone_a04_s05_e01_rgb.mp4,NoFALL,ADL,ADL_s05,
videos/NoFALL/ADL_call_cellphone_a04_s05_e02_rgb.mp4,NoFALL,ADL,ADL_s05,
videos/NoFALL/ADL_call_cellphone_a04_s06_e01_rgb.mp4,NoFALL,ADL,ADL_s06,
videos/NoFALL/ADL_call_cellphone_a04_s06_e02_rgb.mp4,NoFALL,ADL,ADL_s06,
videos/NoFALL/ADL_call_cellphone_a04_s07_e01_rgb.mp4,NoFALL,ADL,ADL_s07,
videos/NoFALL/ADL_call_cellphone_a04_s07_e02_rgb.mp4,NoFALL,ADL,ADL_s07,
videos/NoFALL/ADL_call_cellphone_a04_s08_e01_rgb.mp4,NoFALL,ADL,ADL_s08,
videos/NoFALL/ADL_call_cellphone_a04_s08_e02_rgb.mp4,NoFALL,ADL,ADL_s08,
videos/NoFALL/ADL_call_cellphone_a04_s09_e01_rgb.mp4,NoFALL,ADL,ADL_s09,
videos/NoFALL/ADL_call_cellphone_a04_s09_e02_rgb.mp4,NoFALL,ADL,ADL_s09,
videos/NoFALL/ADL_call_cellphone_a04_s10_e01_rgb.mp4,NoFALL,ADL,ADL_s10,
videos/NoFALL/ADL_call_cellphone_a04_s10_e02_rgb.mp4,NoFALL,ADL,ADL_s10,
videos/NoFALL/ADL_cheer_up_a08_s01_e01_rgb.mp4,NoFALL,ADL,ADL_s01,
videos/NoFALL/ADL_cheer_up_a08_s01_e02_rgb.mp4,NoFALL,ADL,ADL_s01,
videos/NoFALL/ADL_cheer_up_a08_s02_e01_rgb.mp4,NoFALL,ADL,ADL_s02,
videos/NoFALL/ADL_cheer_up_a08_s02_e02_rgb.mp4,NoFALL,ADL,ADL_s02,
videos/NoFALL/ADL_cheer_up_a08_s03_e01_rgb.mp4,NoFALL,ADL,ADL_s03,
videos/NoFALL/ADL_cheer_up_a08_s03_e02_rgb.mp4,NoFALL,ADL,ADL_s03,
videos/NoFALL/ADL_cheer_up_a08_s04_e01_rgb.mp4,NoFALL,ADL,ADL_s04,
videos/NoFALL/ADL_cheer_up_a08_s04_e02_rgb.mp4,NoFALL,ADL,ADL_s04,
